 FirstName,LastName,University,Department,Education
 Robert,Acker,University of Montana,Modern and Classical Languages and Literatures,N/A
 Earle,Adams,University of Montana,Chemistry & Biochemistry,"PhD: Montana State University, Bozeman, MT"
 Karen Ruth,Adams,University of Montana,Political Science,"Ph.D.   University of California, Berkeley, Political Science, 2000"
 David,Airne,University of Montana,Communication Studies,N/A
 Charles,Allen,University of Montana,Psychology,N/A
 Fred,Allendorf,University of Montana,Division of Biological Sciences,"B.S. Penn State University, 1971
M.S. University of Washington, 1973
Ph.D. University of Washington, Fisheries & Genetics,1975
(Fred Utter & Joe Felsenstein, co-supervisors )"
 David,Alt,University of Montana,Geosciences,N/A
 Elizabeth,Ametsbichler,University of Montana,Modern and Classical Languages and Literatures,N/A
 Christopher,Anderson,University of Montana,Modern and Classical Languages and Literatures,"Ph.D., French, the University of Iowa, Iowa City, IA, 1990
M.F.A., English, the University of Iowa Writers Workshop, 1977"
 Irene,Appelbaum,University of Montana,AnthropologyLinguistics Program,"PhD - University of Chicago 1995
AB - Princeton University 1984"
 Hiltrud,Arens,University of Montana,Modern and Classical Languages and LiteraturesWomen's and Gender Studies,"1997 Ph.D. in German Literature, University of Maryland at College Park"
 Nancy,Arnold,University of Montana,Sociology,N/A
 Hayden,Ausland,University of Montana,Modern and Classical Languages and Literatures,N/A
 Betsy,Bach,University of Montana,Communication Studies,"I received my Ph.D. in Speech Communication from the University of Washington in 1985 and specialize in organizational communication, where my two major research areas are the mentoring and socialization of organizational newcomers. I enjoy listening to the experiences of organizational newcomers as they try to negotiate life in organizations, and find their experiences of change, contrast, and surprise very exciting. I use these stories to coach organizational ""veterans"" how to make the socialization experiences of newcomers less stressful (for both newcomers AND veterans). More recently, I am reading in and turning my research interests to communication in ""chosen kin"" relationships. 

My passion is teaching, which I enjoy tremendously. I was honored to receive the University of Montana's Distinguished Teacher Award in 1991 and the Master Teacher Award from the Western States Communication Association in 1992.

I also enjoy management responsibilities and was very grateful to be nominated by the COMM department for (and be awarded) Montana's Academic Administrator Award in 1996, I have also served as President of the Western States Communication Association, the Northwest Communication Association, and as Director of the Educational Policies Board for the National Communication Association. In 2009 I was elected as President of the National Communication Association, and was very honored to serve in this capacity."
 Evelina,Badery-Anderson,University of Montana,Modern and Classical Languages and Literatures,N/A
 Linda,Bailey,University of Montana,Modern and Classical Languages and Literatures,N/A
 Robert,Baker,University of Montana,English,"   Ph.D., Comparative Literature, 1997"
 Robert,Balch,University of Montana,Sociology,"Ph.D. Sociology, University of Oregon, 1972"
 Julia A.,Baldwin,University of Montana,Geosciences,"Ph.D. Geology, Massachusetts Institute of Technology, 2003"
 Ashley,Ballantyne,University of Montana,Systems Ecology,Duke University                                 Climate/Ecology                     PhD     2006
 Johnathan,Bardsley,University of Montana,Mathematical Sciences,"Born in Missoula, raised in Butte, and (mostly) Montana educated, I got my B.S. in Mathematics from Montana Tech in 1996, my M.S. in Mathematics at Montana State University in 1998, my M.S. in Mathematics at the University of Oregon in 1999, and finally my Ph.D. in Mathematics at Montana State University in 2002. I then did a post-doc at North Carolina State University and at the Statistical and Applied Mathematical Sciences Institute (SAMSI), which ended in 2003, when I took my current position at the University of Montana. "
 Leora,Bar-el,University of Montana,AnthropologyLinguistics Program,"PhD, University of British Columbia, 2005
Dissertation: Aspectual Distinctions in Skwxwu7mesh"
 Martina,Baum-Acker,University of Montana,Modern and Classical Languages and Literatures,N/A
 David,Beck,University of Montana,Native American Studies,"Ph.D., History, University of Illinois at Chicago
M.A., History, University of Illinois at Chicago
B.A., American Studies, Northwestern University"
 CPT Patrick,Beckwith,University of Montana,Military Science,N/A
 Margaret,Beebe-Frankenberger,University of Montana,Psychology,"Ph.D. University of California, Riverside, 2000
B.A. University of California, Riverside, 1996"
 Lucy,Beighle,University of Montana,Communication Studies,N/A
 Annjeanette,Belcourt,University of Montana,Global Public Health,Ph.D University of Montana Clinical Psychology 2006
 Ryan,Bell,University of Montana,English,N/A
 Jill M.,Belsky,University of Montana,International Development StudiesInternational Development Studies,"Ph.D., 1991 Cornell University, Rural/Development Sociology
Minors: Agriculture and Natural Resource Sociology and Southeast Asian Studies.
M.S., 1984 Cornell University, Extension Education
Minors: Rural Sociology, International Agriculture and Southeast Asian Studies.
B.A., 1978 Colgate University, Sociology and Anthropology, Graduated Cum Laude"
 Tony,Beltramo,University of Montana,Modern and Classical Languages and Literatures,N/A
 Rebecca O.,Bendick,University of Montana,Geosciences,"1995-2000 University of Colorado, Boulder, CO: Ph.D.(Geophysics)"
 Joel,Berger,University of Montana,Division of Biological Sciences,"PhD  University of Colorado, Boulder; (1978)"
 Laurence,Berger,University of Montana,Psychology,N/A
 Jill,Bergman,University of Montana,EnglishWomen's and Gender Studies,"Ph.D., English, University of Illinois, Urbana, 1999"
 Orion,Berryman,University of Montana,Chemistry & Biochemistry,"Orion grew up enjoying the great outdoors surrounding Homer, Alaska. In 2003 Orion received a B.A. in chemistry and a minor in music from the University of New Hampshire. For postbaccalaureate studies Orion attended the University of Oregon--earning a Ph D. in organic/inorganic chemistry in 2008. During his doctoral studies Orion helped define the nature of anion/arene interactions under the guidance of Darren W. Johnson. Postdoctoral studies led Orion to The Scripps Research Institute in La Jolla, CA where he worked for Julius Rebek Jr. developing light responsive catalysts and ligands that encapsulate uranium. In 2012 Orion joined the chemistry and biochemistry faculty at the University of Montana. Orion is a CoBRE investigator within the Center for Biomolecular Structure and Dynamics where he will teach and develop new catalysts that utilize noncovalent interactions as well as self-assembled ligands for ion remediation."
 Richard,Billstein,University of Montana,Mathematical Sciences,N/A
 Samir,Bitar,University of Montana,Modern and Classical Languages and Literatures,N/A
 Judy,Blunt,University of Montana,English,N/A
 Benedicte,Boisseron,University of Montana,Modern and Classical Languages and Literatures,N/A
 Jeff,Bookwalter,University of Montana,EconomicsInternational Development StudiesInternational Development Studies,"Ph.D., University of Utah, 2000"
 Albert,Borgmann,University of Montana,Philosophy,"Ph.D., University of Munich"
 Keith,Bosak,University of Montana,International Development StudiesInternational Development Studies,"PhD., 2006 University of Georgia, Department of Geography, Dissertation: The Local Effects of Global Conservation Policy: Political ecology, environmental justice and the production of scale in the Nanda Devi Biosphere Reserve, India."
 Bruce,Bowler,University of Montana,BiochemistryCenter for Biomolecular Structure and DynamicsChemistry & Biochemistry,N/A
 Timothy R.,Bradstock,University of Montana,Modern and Classical Languages and Literatures,"Ph.D. Harvard University. History and East Asian Languages program. Fields: Chinese history (ancient and modern), British history."
 Creagh,Breuner,University of Montana,Division of Biological Sciences,"PhD: University of Washington, 1998"
 Klara,Briknarova,University of Montana,BiochemistryChemistry & Biochemistry,"Klara Briknarova came to the University of Montana in November 2005. Klara received her undergraduate education from School of Mathematics and Physics at Charles University in Prague, Czech Republic. She carried out graduate studies in the laboratory of Professor Miguel Llinas at Carnegie Mellon University, and earned her PhD. in Biophysics/Chemistry in 1999. She then worked as a postdoctoral fellow in the laboratory of Professor Kathryn R. Ely at the Burnham Institute. Klara is a biochemist and structural biologist specializing in biomolecular nuclear magnetic resonance (NMR) spectroscopy."
 Len,Broberg,University of Montana,Environmental StudiesSystems Ecology,PhD. Biology. University of Oregon 1995.
 Jennifer,Brooks,University of Montana,Mathematical Sciences,"Ph.D., University of Wisconsin"
 Fletcher,Brown,University of Montana,Environmental Studies,"Fletcher Brown holds a joint appointment in the Environmental Studies Department in the College of Arts and Sciences and the Curriculum and Instruction Department in the School of Education. Brown comes to the University of Montana from Miami University where he received a Ph.D. in Botany and Science Education and from Antioch New England Graduate School were he received a MS in Environmental Education. At the University of Montana he teaches graduate courses in environmental and science education and at the undergraduate level teaches courses in environmental science and secondary science teaching methods. His research interests focus on the effects of instruction approaches on students' understanding and attitudes about science and the environment, characterizing science classroom learning environments, and reform efforts in science and environmental education."
 Jacqueline,Brown,University of Montana,Psychology,Prospective Ph.D. Applicants in School Psychology
 Rob,Browning,University of Montana,English,"Ph.D., Indiana University"
 Heather,Bruce,University of Montana,English,"I received a B.A. from Principia College in environmental studies and education/humanities track; an Ed. M. from Harvard University in reading and curriculum development; and the Ph.D. from the University of Utah in Composition, Rhetoric and Literacy Studies: Cultural Foundations of Education. I am a 1981 fellow of the Utah Writing Project."
 Alex,Bulmahn,University of Montana,Physics and Astronomy,"PhD Physics, University of Iowa, May 2010"
 Jackson,Bunch,University of Montana,Sociology,"Dr. Jackson Bunch has been at the University of Montana since 2013. He received his Ph.D. from the University of Georgia with a specialization in Crime, Law, and Deviance. His research focuses on the causes and consequences of victimization, a topic that he has explored from many different perspectives. He has examined how lifestyles influence victimization risk and how victimization, in turn, affects lifestyles. He has also explored the emotional impact of crime, examining how victimization influences fear of crime. Recently, he has studied the relationship between criminal activity and victimization risk, focusing on how offending and victimization influence one another over time. Currently, he is researching the ways in which the experience of different forms of criminal victimization affects future victimization risk. Recent reports of his research appear in Criminal Justice and Behavior, Youth Violence and Juvenile Justice, and Crime and Delinquency."
 James,Burchfield,University of Montana,Systems Ecology,"I have been fortunate to have experience as both a rural sociologist and a forester, as my major interest centers on how people may reside and interact with forest and grassland settings in a productive, harmonious manner. I am curious about the manner in which science-based tools can improve the effectiveness of community groups in the development of plans and activities on forested lands. I received my academic training at the University of Washington and the University of Michigan, and my PhD dissertation explored the success of voluntary associations among small private woodland owners. Recent work has examined the effects of wildfires on rural communities and the implications of stewardship contracting on public lands. Prior to becoming the Associate Dean, I was the Director of the Bolle Center for People and Forests at the University of Montana. For nearly 20 years I worked for the USDA Forest Service in Michigan, Ohio, Oregon, and Washington, with a three year assignment in Washington D.C. as a policy analyst in the International Program Office. I also spent three years in the mid-1970's as a Peace Corps Volunteer in a small rural village in northern Guatemala. It was there that I came to learn beekeeping, as well as the dignity, humor, and resiliency of the human spirit in the face of hardship."
 James,Burfeind,University of Montana,Sociology,"Portland State University, PhD"
 Patrick,Burke,University of Montana,Philosophy,N/A
 Maria Jose,Bustos-Fernandez,University of Montana,Latin American StudiesModern and Classical Languages and Literatures,"University of Colorado, Boulder, CO, USA. Degree: PhD in Latin American Literature"
 Scott,Byington,University of Montana,Sociology,N/A
 Heather,Cahoon,University of Montana,Native American Studies,"Ph.D., Interdisciplinary (History, Anthropology & Native American Studies), University of Montana (2005)"
 Ragan,Callaway,University of Montana,Division of Biological Sciences,"B.S. Westmont College, 1978
M.S. University of Tennessee, 1983
Ph.D. University of California, Santa Barbara, 1990"
 George,Camp,University of Montana,Psychology,N/A
 Duncan G,Campbell,University of Montana,Psychology,"Postdoctoral Fellowship: Health Services R&D, VA Puget Sound, 2003-2005
PhD: Washington State University, 2003
BA: University of North Carolina at Chapel Hill, 1991"
 Gregory,Campbell,University of Montana,Anthropology,"Dr. Campbell is a cultural anthropologist who is interested in health issues, particularly among Native Americans. He has conducted ethnographic field research among Native Americans of the Great Plains. His research interests are social epidemiology, demography, social organization, ethnic studies, and critical anthropology. He earned the Ph.D. degree from University of Oklahoma in 1987."
 Kevin,Canty,University of Montana,EnglishIrish Studies,N/A
 Zhen,Cao,University of Montana,Modern and Classical Languages and Literatures,N/A
 LTC Chad,Carlson,University of Montana,Military Science,N/A
 Michael,Cassens,University of Montana,Computer Science,N/A
 Sarah,Certel,University of Montana,Division of Biological Sciences,"Sarah J. Certel, PhD., Assistant Professor"
 H. Rafael,Chacon,University of Montana,Latin American Studies,"Ph.D with honors, University of Chicago, Illinois, 1995
M.A., University of Chicago, Illinois, 1987
B.A., Summa Cum Laude, Wabash College, Indiana, 1985"
 Casey,Charles,University of Montana,EnglishWomen's and Gender Studies,PhD SUNY Buffalo
 Abhishek,Chatterjee,University of Montana,Political Science,"Ph.D., University of Virginia, 2010"
 Eric,Chesebro,University of Montana,Mathematical Sciences,"Ph.D., University of Texas at Austin"
 Beverly,Chin,University of Montana,English,N/A
 Eduardo,Chirinos,University of Montana,Latin American StudiesModern and Classical Languages and Literatures,"Ph.D. in Spanish. Rutgers University (1997); Latin American Literature, Modernism, Avant-Garde, Spanish and Latin American Contemporary Poetry"
 Xi,Chu,University of Montana,Chemistry & Biochemistry,"Xi Chu joined the UM chemistry faculty in 2005 as an assistant professor. She did her graduate study in the theoretical chemistry group of the University of Kansas and received her Ph.D. degree in 2001. Xi carried on postdoctoral research at the institute of theoretical atomic, molecular, and optical physics (ITAMP) in Harvard Smithsonian Center for Astrophysics. Xi Chu is a theoretical and computational quantum chemist."
 David,Clark,University of Montana,Philosophy,"Ph.D., Purdue University"
 Bridget,Clarke,University of Montana,Philosophy,"Ph.D., University of Pittsburgh"
 Cory,Cleveland,University of Montana,Systems Ecology,"Dr. Cory C. Cleveland joined the faculty at the University of Montana in 2007. He is an Associate Professor of Terrestrial Biogeochemistry in the Department of Ecosystem and Conservation Sciences in the College of Forestry and Conservation. He received his Ph.D. in the Department of Ecology and Evolutionary biology at the University of Colorado in 2001, and did his post-doctoral work at the Institute of Arctic & Alpine Research (INSTAAR) a multi-disciplinary research institute in Boulder, CO. Dr. Cleveland also has an M.S. in Natural Resources (Forest Science) from Cornell University, and a B.A. in Physical Geography from the University of Colorado. His expertise is terrestrial ecosystem ecology and soil biogeochemistry, and he teaches courses in soil science, ecosystem ecology and biogeochemistry at UM. His research focuses on understanding the biotic and abiotic controls over terrestrial biogeochemical cycling and ecosystem processes."
 Bradley,Clough,University of Montana,Liberal StudiesReligious Studies,"Brad Clough began studying religion as an undergraduate at St. Lawrence University. He pursued his graduate studies at Columbia University, where he received an M.A. in Religious Studies, an M.Phil in South Asian Religions, and a Ph.D. in Buddhist Studies"
 Richmond,Clow,University of Montana,Native American Studies,"Ph.D. History, University of New Mexico, Albuquerque"
 Bryan,Cochran,University of Montana,PsychologyWomen's and Gender Studies,Notice to Applicants for the Ph.D. Program in Clinical Psychology:
 Chris,Comer,University of Montana,Division of Biological SciencesH&S Dean's Office,"PhD (Biology & Neuroscience): The University of Chicago, Chicago, IL, 1980"
 Phil,Condon,University of Montana,Environmental Studies,N/A
 Daniel,Congdon,University of Montana,Philosophy,"I am currently a first year grad student in the Environmental Philosophy MA program. My undergraduate degrees are a BS in Biology (Ecology) and a BA in Philosophy from Seattle Pacific University. After graduating from SPU I worked for a year and a half with the Food and Drug Administration as an Investigator. That job was a great learning experience and I was able to get an inside look at politics, regulation, and the industrial food system. My education and work background contribute to my current research interests in Deep Ecology, Philosophy of Technology (as it applies socially, culturally, and environmentally), accounts of knowledge and objectivity that address the Naturalistic fallacy, animal welfare in agricultural settings, and many more! There are many paths from this education that I am currently considering, including: PhD work in Philosophy, teaching in general, political activism, writing, and again, many more. Two of the things that I like most about this program are the openness to interdisciplinary work (philosophy, political science, natural sciences, social sciences, etc.) and the emphasis on applying theory to current and ongoing environmental issues. And last but not least, studying in Missoula has allowed me to embrace the outdoors, which inspires much of the work in this field, while doing the work itself. "
 Lucian,Conway,University of Montana,Psychology,N/A
 Nancy,Cook,University of Montana,English,Ph.D. SUNY Buffalo
 Ray,Corro,University of Montana,Modern and Classical Languages and Literatures,N/A
 Mark,Cracolice,University of Montana,Chemistry & Biochemistry,"Mark Cracolice came to UM in August of 1994 from the University of Oklahoma. He earned his Ph.D. from the University of Oklahoma in 1994 under the supervision of Professor Michael R. Abraham. While at Oklahoma, he was a Visiting Assistant Professor. He has also served as an Associate Instructional Specialist at the Chemistry Learning Center at the University of Wisconsin, Madison. Dr. Cracolice specializes in chemical education and teaches freshman chemistry and graduate courses in chemical education."
 M. Ione,Crummy,University of Montana,Modern and Classical Languages and LiteraturesWomen's and Gender Studies,"Ph.D. 1992 French, Stanford University, Stanfor, CA"
 Douglas,Dalenberg,University of Montana,Economics,N/A
 Diep,Dao,University of Montana,Geography,N/A
 Wade,Davies,University of Montana,Native American Studies,N/A
 Amanda,Dawsey,University of Montana,Economics,"Amanda Dawsey began working with credit card data while studying for her Ph.D. at the University of Maryland. She applied for a card in order to learn more about the application process, and despite the easy lending terms of the late 1990s, she was promptly denied. Despite this early rejection, Dr. Dawsey has persisted in her devotion to the study of credit markets, but she does occasionally take breaks to run or read scandinavian mystery novels. "
 Michael,DeGrandpre,University of Montana,Chemistry & Biochemistry,Mike DeGrandpre received his Ph.D. in Analytical Chemistry from the University of Washington in 1990. He carried out postdoctoral research at Woods Hole Oceanographic Institution in Massachusetts from 1990 to 1993 and held a research associate position there from 1993 through 1995. He joined the chemistry faculty at UM in January of 1996. Mike is an analytical/environmental chemist specializing in developing and using autonomous sensors to study aquatic biogeochemistry and the ocean carbon cycle. 
 Daniel J.,Denis,University of Montana,Psychology,"B.A. (1997). Laurentian University, Sudbury, Canada.
M.A. (1999). York University, Toronto, Canada.
Ph.D. (2004). York University, Toronto, Canada."
 Evan,Denney,University of Montana,Geography,N/A
 George,Dennison,University of Montana,History,N/A
 Kenneth,Dial,University of Montana,Division of Biological Sciences,"B.S. Loyola Marymount University, 1976
M.A. California State University, Long Beach, 1978
Ph.D. Northern Arizona University, 1984
Post-doctoral Fellow, Harvard University 1985-88"
 Paul,Dietrich,University of Montana,Liberal StudiesReligious StudiesWomen's and Gender Studies,N/A
 Kelly,Dixon,University of Montana,Anthropology,"Kelly J. Dixon (PhD, University of Nevada) is an Associate Professor of Anthropology at The University of Montana.

Kelly J. Dixon specializes in archaeology in the American West, with interests in archaeologies of adaptation, colonization, colonialism, landscapes, landscape transformations, human-environment interactions, boomtowns, extractive industries, marginalized populations, and text-aided approaches to archaeology. Among Dixons recent publications are: An Archaeology of Desperation: Exploring the Donner Party's Alder Creek Camp, University of Oklahoma Press (2012), co-editor and contributing author (winner of the Society for Historical Archaeology's 2013 James Deetz Book Award); ""A Place of Recreation of Our Own"": Archaeology of the Boston Saloon, in The Materiality of Freedom: Archaeologies of Post-Emancipation Life (2012); ""Verily the Road was Built with Chinaman's Bones"": Archaeology of Chinese Line Camps in Montana, International Journal of Historical Archaeology (2012), co-author; 'Men, Women, and Children Starving': Archaeology of the Donner Family Camp, American Antiquity (2010), co-author; When Fancy Gets The Upper Hand of Fact: Historical Archaeology and Popular Culture in the American West, Archaeological Record (2007); ""Survival of Biological Evidence on Artifacts: Applying Forensic Techniques at the Boston Saloon,"" Historical Archaeology (2006); Sidling Up to the Archaeology of Western Saloons: Historical Archaeology Takes on the Wild of the West, World Archaeology (2006); Saloons in the ""Wild"" West and Taverns in Ancient Mesopotamia: Explorations Along the Timeline of Public Drinking, in Between Dirt and Discussion (2006); Boomtown Saloons: Archaeology and History in Virginia City, University of Nevada Press (2005).

Dr. Dixon is currently developing student-oriented interdisciplinary archaeological research at historic-period sites throughout Montana; she is mentoring PhD, MA, and Undergraduate students who are working on applied and academic archaeological topics in the American West and throughout the world."
 Solomon,Dobrowski,University of Montana,Systems Ecology,"PhD, Ecology. University of California, Davis. 2005."
 John,Domitrovich,University of Montana,Sociology,N/A
 John,Donahue,University of Montana,Geography,N/A
 John,Douglas,University of Montana,AnthropologyLatin American Studies,"University of Arizona, Tucson 1990 Ph.D. in Anthropology"
 Brian,Dowdle,University of Montana,Modern and Classical Languages and Literatures,"Ph.D. Asian Languages and Cultures, University of Michigan  (2012)"
 Dan,Doyle,University of Montana,Sociology,"Ph.D. Sociology: The University of Washington, Seattle"
 Richard,Drake,University of Montana,History,"Richard Drake is a historian of Europe and the United States. After graduate work in American history at Brown University and UC Santa Barbara, he earned a PhD at UCLA in 1976 with a specialty in European history. He then taught at UCLA, UC Irvine, Wellesley College, and Princeton University before joining the University of Montana history department. His courses at UM include European Cultural and Intellectual History, Contemporary Europe, Modern Italy, and Terrorism in the Modern World. After publishing four books about Italian history, the course on terrorism prompted the expansion of his research interests to include the United States."
 John,Duffield,University of Montana,Mathematical Sciences,"Ph.D., Yale"
 Armond,Duwell,University of Montana,Philosophy,Ph.D. in History and Philosophy of Science. University of Pittsburgh. 2004.
 Daniel,Dwyer,University of Montana,Chemistry & Biochemistry,N/A
 Laura,Dybdal,University of Montana,Global Public Health,N/A
 Debra,Earling,University of Montana,English,N/A
 Lisa,Eby,University of Montana,Systems Ecology,"Dr. Lisa Eby is an Associate Professor of Aquatic Vertebrate Ecology at The University of Montana. She received her B.S. in Zoology and M.S. in Limnology and Oceanography from the University of Wisconsin in Madison and Ph.D. in Aquatic Ecology from Duke University. After working briefly as a postdoctoral researcher at Arizona State University, she was hired by the College of Forestry and Conservation here in Montana.  Her previous research has spanned a range of questions and ecosystems from examining chronic stress (low oxygen zones) and catastrophic disturbances (floods and hurricanes) on individuals, populations, and communities in estuaries, to exploring the role of population shifts on food web interactions and trophic transfer in lakes, to analyzing long-term community changes in desert stream fish communities."
 Louise,Economides,University of Montana,English,"Ph.D.   Indiana University, Bloomington"
 John,Eglin,University of Montana,History,"PhD, Yale University, 1996"
